id;block;typ;de;en;es;k_es;pt;k_pt;anmerkung
D016;D;hart;Malzeichen des Tieres;mark of the beast;la marca de la bestia;3;a marca da besta;3;
D017;D;hart;Siegel Gottes;seal of God;el sello de Dios;3;o selo de Deus;3;
D018;D;hart;Babylon;Babylon;Babilon;3;Babil;3;
D019;D;hart;Sonntagsgesetz;Sunday law;la ley del domingo;3;a lei do domingo;3;
D020;D;hart;Gnadenzeit;probation;tiempo de gracia;2;tempo de graça;2;EN Fachterminus ist probation, nicht time of grace.
D021;D;hart;Große Enttäuschung;Great Disappointment;la Gran Decepción;3;a Grande Decepção;3;Bezug 1844.
D022;D;hart;Zehnter;tithe;el diezmo;3;o dízimo;3;
D023;D;weich;Gaben;offerings;ofrendas;3;ofertas;3;WEICH: Gaben auch als Geistesgaben oder Geschenke.
D024;D;hart;Gesundheitsbotschaft;health message;mensaje de salud;3;mensagem de saúde;3;
D025;D;hart;Gesundheitsreform;health reform;reforma de salud;3;reforma de saúde;3;RU pruefen.
D026;D;hart;Ältester;elder;anciano;3;ancião;3;RU: presviter adventistisch, starets ist orthodox. FA mashayekh ist Plural, Singular pruefen.
D027;D;hart;Diakon;deacon;diácono;3;diácono;3;
D028;D;weich;Prediger;pastor;pastor;3;pastor;3;WEICH: kollidiert mit dem Bibelbuch Prediger (A021).
D029;D;hart;Gemeindeglied;church member;miembro de la iglesia;3;membro da igreja;3;
D030;D;hart;Vereinigung;conference;confederación;2;confederação;2;Kirchenstrukturbegriff, nicht die Alltagsbedeutung. Kritisch fuer MT.
D031;D;hart;Verband;union;Unión;3;União;3;Kirchenstrukturbegriff. WEICH-Kandidat, da Verband auch medizinisch.
D032;D;hart;Generalkonferenz;General Conference;Asamblea General;3;Associação Geral;3;
D033;D;hart;Gemeindehandbuch;Church Manual;Manual de la Iglesia;3;Manual da Igreja;3;
D034;D;hart;Glaubenspunkte;fundamental beliefs;Creencias Fundamentales;3;Crenças Fundamentais;3;
D035;D;hart;Kindersegnung;child dedication;Dedicación de Niños;3;Dedicação de Crianças;3;EN Fachterminus ist dedication, nicht blessing.
D036;D;hart;Schlachter 2000;Schlachter 2000;Schlachter 2000;3;Schlachter 2000;3;Eigenname der Uebersetzung. Nicht uebersetzen, nur transliterieren.
D037;D;hart;Erweckung und Reformation;revival and reformation;Avivamiento y Reforma;3;Avivamento e Reforma;3;Feste adventistische Wendung.
D038;D;hart;Asasel;Azazel;Azazel;3;Azazel;3;Kern der Heiligtumstypologie.
D039;D;hart;Adventbewegung;Advent movement;movimiento adventista;3;movimento adventista;3;
D040;D;hart;Milleriten;Millerites;mileritas;3;mileritas;3;
D041;D;hart;Bibelstunde;Bible study;estudio bíblico;3;estudo bíblico;3;
D042;D;hart;Hauskreis;small group;grupo pequeño;3;grupo pequeno;3;
D043;D;hart;Rüsttag;preparation day;día de preparación;3;dia de preparação;3;Der Freitag. Adventistisch gaengig.
D044;D;hart;Sabbatanfang;beginning of the Sabbath;inicio del sábado;3;início do sábado;3;
D045;D;hart;Andacht;devotional;devocional;3;devocional;3;Kein sauberer Standardterminus in RU/FA. Pruefen.
D046;D;hart;Pfadfinder;Pathfinders;ir y buscar;3;ir e buscar;3;Adventistische Jugendorganisation, nicht Scouts allgemein.
D047;D;hart;Schriftprinzip;sola scriptura;sola scriptura;3;sola scriptura;3;
D048;D;hart;Gemeindeaufbau;church growth;crecimiento de la iglesia;3;crescimento da igreja;3;
D049;D;hart;Missionsbericht;mission report;informe de misiones;3;relatório de missões;3;
